Year,State_Abbr,State,Violent_Crime,Homicides,Rape_Legacy,Rape_Revised,Robbery,Aggravated_Assault,Property_Crime,Burglary,Larceny,Motor_Vehicle_Theft,LEOs,Population,LEOs_per_1000
2017,SC,South Caroli,25412,380,,2576,3884,18572,160368,31165,114931,14272,9139,5021268,1.8200582
2017,SD,South Dakota,3753,27,,575,264,2887,16588,2835,12285,1468,1790,872868,2.05071099
2017,TN,Tennessee,43940,538,,3028,7867,32507,198028,38819,140636,18573,16754,6708799,2.497317329
2017,TX,Texas,123984,1405,,14536,32120,75923,723143,133458,521767,67918,44376,28295273,1.568318496
2017,UT,Utah,7515,74,,1758,1498,4185,86201,11780,64955,9466,4988,3101042,1.608491597
2017,VA,Virginia,17811,470,,3026,4331,9984,152515,18524,123812,10179,19082,8463587,2.254599616
2017,VT,Vermont,1082,17,,254,100,711,9339,1945,7169,225,1193,624344,1.910805582
2017,WA,Washington,22483,226,,3300,5386,13571,235206,43687,162154,29365,10716,7423362,1.443550779
2017,WI,Wisconsin,18638,192,,2177,4370,11899,104908,17570,77868,9470,12994,5790186,2.244142071
2017,WV,West Virginia,6564,98,,793,673,5000,32560,7557,21917,3086,3674,1817004,2.022009858
2017,WY,Wyoming,1358,14,,253,98,993,10528,1556,8211,761,1243,578931,2.147060703
2018,AK,Alaska,6555,47,,1212,896,4400,24345,3985,16364,3996,1286,735139,1.749329038
2018,AL,Alabama,25567,383,,2032,4047,19105,138702,29101,96328,13273,10661,4887681,2.181197996
2018,AR,Arkansas,16904,222,,2341,1593,12748,89177,19520,62350,7307,6743,3009733,2.240398069
2018,AZ,Arizo,34053,383,,3605,6509,23556,192730,31787,141789,19154,12885,7158024,1.800077787
2018,CA,California,176604,1739,,15506,54328,105031,941644,164645,621779,155220,79141,39461588,2.0055199
2018,CO,Colorado,22851,215,,4328,3781,14527,154292,21757,110518,22017,12518,5691287,2.199502503
2018,CT,Connecticut,7485,86,,873,2205,4321,59356,7983,44181,7192,7792,3571520,2.181704148
2018,DC,District of Columbia,6995,160,,450,2415,3970,30726,1788,26345,2593,4393,701547,6.261875541
2018,DE,Delaware,4079,46,,334,861,2838,22405,3154,17780,1471,2315,965479,2.39777354
2018,FL,Florida,81980,1107,,8438,16884,55551,486017,71933,372919,41165,44693,21244317,2.10376262
2018,GA,Georgia,35619,647,,2798,8499,23675,277803,46816,205631,25356,27649,10511131,2.630449568
2018,HI,Hawaii,3622,40,,709,951,1922,41027,5709,29600,5718,2844,1420593,2.001980863
2018,IA,Iowa,8303,70,,1126,989,6118,57024,12433,39498,5093,4787,3148618,1.520349563
2018,ID,Idaho,4196,34,,927,195,3040,25822,4990,18876,1956,2895,1750536,1.653779185
2018,IL,Illinois,52343,902,,6106,14251,31084,246679,39317,187517,19845,26744,12723071,2.102008234
2018,IN,India,25009,418,,2486,5737,16368,146948,25894,105861,15193,9484,6695497,1.416474386
2018,KS,Kansas,12861,122,,1664,1420,9655,77449,12792,56726,7931,6825,2911359,2.344266028
2018,KY,Kentucky,9719,250,,1875,2469,5125,89235,17462,61313,10460,7477,4461153,1.676024113
2018,LA,Louisia,25314,533,,2105,4600,18076,152996,31291,110066,11639,14250,4659690,3.058143353
2018,MA,Massachusetts,23424,138,,2465,4084,16737,87658,14095,66968,6595,16717,6882635,2.42886627
2018,MD,Maryland,28330,491,,1991,9716,16132,122945,18910,91887,12148,16981,6035802,2.813379233
2018,ME,Maine,1500,23,,447,228,802,18201,2712,14712,777,2703,1339057,2.01858472
2018,MI,Michigan,45176,555,,7901,5638,31082,166186,31834,116876,17476,17340,9984072,1.736766321
2018,MN,Minnesota,12403,107,,2475,2946,6875,112186,16206,85849,10131,10981,5606249,1.95870715
2018,MO,Missouri,30696,599,,2935,5206,21956,162698,27345,115506,19847,14763,6121623,2.411615351
2018,MS,Mississippi,7929,214,,596,1700,5419,71701,20355,46201,5145,2931,2981020,0.983220508
2018,MT,Monta,4040,37,,569,270,3164,26787,3329,20641,2817,1951,1060665,1.839412067
2018,NC,North Caroli,36980,574,,2633,7573,26200,243323,57450,169376,16497,24598,10381615,2.369380872
2018,ND,North Dakota,2154,18,,409,158,1569,15621,2742,11088,1791,1776,758080,2.342760659
2018,NE,Nebraska,5583,44,,1290,736,3513,40193,5308,29987,4898,3797,1925614,1.971838593
2018,NH,New Hampshire,2404,21,,578,342,1463,17201,1908,14396,897,2838,1353465,2.096840332
2018,NJ,New Jersey,18536,285,,1424,6364,10463,125155,19232,94886,11037,31819,8886025,3.580791186
2018,NM,New Mexico,17637,153,,1302,2646,13536,70722,16102,44592,10028,2710,2092741,1.294952409
2018,NV,Nevada,16715,202,,2329,3862,10322,73998,17741,44341,11916,6287,3027341,2.076739951
2018,NY,New York,68512,562,,6577,18191,43182,281543,31158,237243,13142,62767,19530351,3.213818328
2018,OH,Ohio,34426,596,,5852,9608,18370,257848,49456,188433,19959,15079,11676341,1.291414836
2018,OK,Oklahoma,18701,215,,2431,2805,13250,114395,27178,73799,13418,8958,3940235,2.273468461
2018,OR,Oregon,12146,86,,2114,2515,7431,122401,16515,89191,16695,6618,4181886,1.582539553
2018,PA,Pennsylvania,39099,784,,4490,9854,23971,190633,27054,150441,13138,25505,12800922,1.992434607
2018,RI,Rhode Island,2326,16,,494,453,1363,17625,2817,13270,1538,2494,1058287,2.356638606
2018,SC,South Caroli,25463,411,,2650,3592,18810,156330,29957,111427,14946,12684,5084156,2.494809365
2018,SD,South Dakota,3483,12,,617,222,2632,15191,2502,11237,1452,1780,878698,2.025724424
2018,TN,Tennessee,42687,508,,3011,7222,31946,192897,33538,138710,20649,17370,6771631,2.565113191
2018,TX,Texas,118197,1327,,15098,28339,73433,681143,117897,493238,70008,45627,28628666,1.59375222
